Column1,EORA_a3,Country,Year,CODE,SHORTNAME,GROUP,META_ID,name,Global.Region,Continent
6,ALB,Albania,2016,1,AMR Training (Human Health),Awareness and Education,4,Albania,Other Europe,Europe
7,ALB,Albania,2016,1,AMR Training (Animal Health and Food Prod),Awareness and Education,4,Albania,Other Europe,Europe
8,ALB,Albania,2016,0,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,4,Albania,Other Europe,Europe
9,ALB,Albania,2016,1,AMR Surveillance System (Humans),Monitoring and Surveillance,4,Albania,Other Europe,Europe
10,ALB,Albania,2016,1,Veterinary Services,General,4,Albania,Other Europe,Europe
11,ALB,Albania,2016,2,Monitoring System for AMU (Human Health),Monitoring and Surveillance,4,Albania,Other Europe,Europe
12,ALB,Albania,2016,2,One Health Arrangements,General,4,Albania,Other Europe,Europe
13,ALB,Albania,2016,2,NAP progress,General,4,Albania,Other Europe,Europe
14,ALB,Albania,2016,0,NAP published,General,4,Albania,Other Europe,Europe
15,ALB,Albania,2016,1,AMR Awareness (Human Health),Awareness and Education,4,Albania,Other Europe,Europe
16,ALB,Albania,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,4,Albania,Other Europe,Europe
18,ALB,Albania,2016,1,AMS and Regulation (Human),Regulation,4,Albania,Other Europe,Europe
19,ALB,Albania,2016,2,AMS and Regulation (Ani&Crop),Regulation,4,Albania,Other Europe,Europe
20,ALB,Albania,2016,1,Contamination Prevention,Regulation,4,Albania,Other Europe,Europe
21,ALB,Albania,2016,1,IPC,Prevention,4,Albania,Other Europe,Europe
22,ALB,Albania,2016,1,AMU Prevention,Prevention,4,Albania,Other Europe,Europe
24,ALB,Albania,2016,1,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,4,Albania,Other Europe,Europe
33,ARE,United Arab Emirates,2016,1,One Health Arrangements,General,240,UAE,M. East & C. Asia,Asia
34,ARE,United Arab Emirates,2016,1,NAP progress,General,240,UAE,M. East & C. Asia,Asia
35,ARE,United Arab Emirates,2016,0,NAP published,General,240,UAE,M. East & C. Asia,Asia
36,ARE,United Arab Emirates,2016,1,AMR Awareness (Human Health),Awareness and Education,240,UAE,M. East & C. Asia,Asia
37,ARE,United Arab Emirates,2016,0,AMR Awareness (Animal Health and Food Prod),Awareness and Education,240,UAE,M. East & C. Asia,Asia
38,ARE,United Arab Emirates,2016,2,AMR Training (Human Health),Awareness and Education,240,UAE,M. East & C. Asia,Asia
39,ARE,United Arab Emirates,2016,0,AMR Training (Animal Health and Food Prod),Awareness and Education,240,UAE,M. East & C. Asia,Asia
41,ARE,United Arab Emirates,2016,1,Monitoring System for AMU (Human Health),Monitoring and Surveillance,240,UAE,M. East & C. Asia,Asia
42,ARE,United Arab Emirates,2016,0,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,240,UAE,M. East & C. Asia,Asia
43,ARE,United Arab Emirates,2016,1,AMR Surveillance System (Humans),Monitoring and Surveillance,240,UAE,M. East & C. Asia,Asia
44,ARE,United Arab Emirates,2016,0,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,240,UAE,M. East & C. Asia,Asia
45,ARE,United Arab Emirates,2016,4,IPC,Prevention,240,UAE,M. East & C. Asia,Asia
55,ARE,United Arab Emirates,2016,3,AMS and Regulation (Human),Regulation,240,UAE,M. East & C. Asia,Asia
57,ARE,United Arab Emirates,2016,1,Contamination Prevention,Regulation,240,UAE,M. East & C. Asia,Asia
58,ARG,Argentina,2016,3,NAP progress,General,11,Argentina,Latin America,South and Central America
59,ARG,Argentina,2016,1,NAP published,General,11,Argentina,Latin America,South and Central America
60,ARG,Argentina,2016,1,AMR Awareness (Human Health),Awareness and Education,11,Argentina,Latin America,South and Central America
61,ARG,Argentina,2016,1,One Health Arrangements,General,11,Argentina,Latin America,South and Central America
70,ARG,Argentina,2016,0,AMS and Regulation (Human),Regulation,11,Argentina,Latin America,South and Central America
71,ARG,Argentina,2016,2,AMS and Regulation (Ani&Crop),Regulation,11,Argentina,Latin America,South and Central America
72,ARG,Argentina,2016,1,Contamination Prevention,Regulation,11,Argentina,Latin America,South and Central America
73,ARG,Argentina,2016,3,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,11,Argentina,Latin America,South and Central America
74,ARG,Argentina,2016,2,IPC,Prevention,11,Argentina,Latin America,South and Central America
75,ARG,Argentina,2016,0,AMU Prevention,Prevention,11,Argentina,Latin America,South and Central America
76,ARG,Argentina,2016,3,AMR Training (Human Health),Awareness and Education,11,Argentina,Latin America,South and Central America
77,ARG,Argentina,2016,1,AMR Training (Animal Health and Food Prod),Awareness and Education,11,Argentina,Latin America,South and Central America
78,ARG,Argentina,2016,1,Veterinary Services,General,11,Argentina,Latin America,South and Central America
79,ARG,Argentina,2016,4,AMR Awareness (Animal Health and Food Prod),Awareness and Education,11,Argentina,Latin America,South and Central America
80,ARG,Argentina,2016,4,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,11,Argentina,Latin America,South and Central America
81,ARG,Argentina,2016,2,AMR Surveillance System (Humans),Monitoring and Surveillance,11,Argentina,Latin America,South and Central America
82,ARG,Argentina,2016,0,Monitoring System for AMU (Human Health),Monitoring and Surveillance,11,Argentina,Latin America,South and Central America
83,ARM,Armenia,2016,1,AMR Training (Human Health),Awareness and Education,12,Armenia,Other Europe,Europe
84,ARM,Armenia,2016,3,AMR Awareness (Human Health),Awareness and Education,12,Armenia,Other Europe,Europe
85,ARM,Armenia,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,12,Armenia,Other Europe,Europe
86,ARM,Armenia,2016,1,One Health Arrangements,General,12,Armenia,Other Europe,Europe
87,ARM,Armenia,2016,2,NAP progress,General,12,Armenia,Other Europe,Europe
88,ARM,Armenia,2016,1,NAP published,General,12,Armenia,Other Europe,Europe
92,ARM,Armenia,2016,1,AMR Training (Animal Health and Food Prod),Awareness and Education,12,Armenia,Other Europe,Europe
93,ARM,Armenia,2016,1,Veterinary Services,General,12,Armenia,Other Europe,Europe
94,ARM,Armenia,2016,2,Monitoring System for AMU (Human Health),Monitoring and Surveillance,12,Armenia,Other Europe,Europe
95,ARM,Armenia,2016,0,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,12,Armenia,Other Europe,Europe
96,ARM,Armenia,2016,1,AMR Surveillance System (Humans),Monitoring and Surveillance,12,Armenia,Other Europe,Europe
97,ARM,Armenia,2016,0,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,12,Armenia,Other Europe,Europe
98,ARM,Armenia,2016,2,IPC,Prevention,12,Armenia,Other Europe,Europe
99,ARM,Armenia,2016,0,AMU Prevention,Prevention,12,Armenia,Other Europe,Europe
102,ARM,Armenia,2016,2,AMS and Regulation (Human),Regulation,12,Armenia,Other Europe,Europe
106,ARM,Armenia,2016,0,AMS and Regulation (Ani&Crop),Regulation,12,Armenia,Other Europe,Europe
107,ARM,Armenia,2016,0,Contamination Prevention,Regulation,12,Armenia,Other Europe,Europe
109,ATG,Antigua and Barbuda,2016,1,NAP progress,General,10,Antigua,North America,North America and Caribbean
110,ATG,Antigua and Barbuda,2016,0,NAP published,General,10,Antigua,North America,North America and Caribbean
111,ATG,Antigua and Barbuda,2016,1,One Health Arrangements,General,10,Antigua,North America,North America and Caribbean
112,ATG,Antigua and Barbuda,2016,1,AMU Prevention,Prevention,10,Antigua,North America,North America and Caribbean
115,ATG,Antigua and Barbuda,2016,3,AMR Awareness (Human Health),Awareness and Education,10,Antigua,North America,North America and Caribbean
116,ATG,Antigua and Barbuda,2016,3,AMR Awareness (Animal Health and Food Prod),Awareness and Education,10,Antigua,North America,North America and Caribbean
117,ATG,Antigua and Barbuda,2016,1,AMR Training (Human Health),Awareness and Education,10,Antigua,North America,North America and Caribbean
118,ATG,Antigua and Barbuda,2016,0,AMR Training (Animal Health and Food Prod),Awareness and Education,10,Antigua,North America,North America and Caribbean
119,ATG,Antigua and Barbuda,2016,1,Veterinary Services,General,10,Antigua,North America,North America and Caribbean
120,ATG,Antigua and Barbuda,2016,0,Monitoring System for AMU (Human Health),Monitoring and Surveillance,10,Antigua,North America,North America and Caribbean
121,ATG,Antigua and Barbuda,2016,0,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,10,Antigua,North America,North America and Caribbean
122,ATG,Antigua and Barbuda,2016,2,AMR Surveillance System (Humans),Monitoring and Surveillance,10,Antigua,North America,North America and Caribbean
123,ATG,Antigua and Barbuda,2016,0,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,10,Antigua,North America,North America and Caribbean
124,ATG,Antigua and Barbuda,2016,0,IPC,Prevention,10,Antigua,North America,North America and Caribbean
130,ATG,Antigua and Barbuda,2016,0,AMS and Regulation (Human),Regulation,10,Antigua,North America,North America and Caribbean
131,ATG,Antigua and Barbuda,2016,0,AMS and Regulation (Ani&Crop),Regulation,10,Antigua,North America,North America and Caribbean
133,ATG,Antigua and Barbuda,2016,1,Contamination Prevention,Regulation,10,Antigua,North America,North America and Caribbean
134,AUS,Australia,2016,3,AMR Awareness (Human Health),Awareness and Education,14,Australia,Asia-Pacific,Australia
135,AUS,Australia,2016,1,AMR Training (Animal Health and Food Prod),Awareness and Education,14,Australia,Asia-Pacific,Australia
136,AUS,Australia,2016,4,Veterinary Services,General,14,Australia,Asia-Pacific,Australia
137,AUS,Australia,2016,3,AMR Awareness (Animal Health and Food Prod),Awareness and Education,14,Australia,Asia-Pacific,Australia
138,AUS,Australia,2016,3,AMR Training (Human Health),Awareness and Education,14,Australia,Asia-Pacific,Australia
146,AUS,Australia,2016,4,Monitoring System for AMU (Human Health),Monitoring and Surveillance,14,Australia,Asia-Pacific,Australia
147,AUS,Australia,2016,3,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,14,Australia,Asia-Pacific,Australia
148,AUS,Australia,2016,3,AMR Surveillance System (Humans),Monitoring and Surveillance,14,Australia,Asia-Pacific,Australia
149,AUS,Australia,2016,1,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,14,Australia,Asia-Pacific,Australia
150,AUS,Australia,2016,3,IPC,Prevention,14,Australia,Asia-Pacific,Australia
151,AUS,Australia,2016,1,AMU Prevention,Prevention,14,Australia,Asia-Pacific,Australia
152,AUS,Australia,2016,4,One Health Arrangements,General,14,Australia,Asia-Pacific,Australia
153,AUS,Australia,2016,3,NAP progress,General,14,Australia,Asia-Pacific,Australia
154,AUS,Australia,2016,1,NAP published,General,14,Australia,Asia-Pacific,Australia
156,AUS,Australia,2016,4,AMS and Regulation (Human),Regulation,14,Australia,Asia-Pacific,Australia
157,AUS,Australia,2016,2,AMS and Regulation (Ani&Crop),Regulation,14,Australia,Asia-Pacific,Australia
158,AUS,Australia,2016,2,Contamination Prevention,Regulation,14,Australia,Asia-Pacific,Australia
159,AUT,Austria,2016,3,AMR Training (Human Health),Awareness and Education,15,Austria,Western Europe,Europe
160,AUT,Austria,2016,3,AMR Training (Animal Health and Food Prod),Awareness and Education,15,Austria,Western Europe,Europe
161,AUT,Austria,2016,0,Veterinary Services,General,15,Austria,Western Europe,Europe
162,AUT,Austria,2016,4,Monitoring System for AMU (Human Health),Monitoring and Surveillance,15,Austria,Western Europe,Europe
163,AUT,Austria,2016,4,One Health Arrangements,General,15,Austria,Western Europe,Europe
164,AUT,Austria,2016,4,NAP progress,General,15,Austria,Western Europe,Europe
165,AUT,Austria,2016,1,NAP published,General,15,Austria,Western Europe,Europe
166,AUT,Austria,2016,1,AMR Awareness (Human Health),Awareness and Education,15,Austria,Western Europe,Europe
167,AUT,Austria,2016,3,AMR Awareness (Animal Health and Food Prod),Awareness and Education,15,Austria,Western Europe,Europe
171,AUT,Austria,2016,3,AMS and Regulation (Human),Regulation,15,Austria,Western Europe,Europe
172,AUT,Austria,2016,4,AMS and Regulation (Ani&Crop),Regulation,15,Austria,Western Europe,Europe
173,AUT,Austria,2016,3,Contamination Prevention,Regulation,15,Austria,Western Europe,Europe
174,AUT,Austria,2016,4,AMR Surveillance System (Humans),Monitoring and Surveillance,15,Austria,Western Europe,Europe
175,AUT,Austria,2016,4,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,15,Austria,Western Europe,Europe
176,AUT,Austria,2016,4,IPC,Prevention,15,Austria,Western Europe,Europe
177,AUT,Austria,2016,4,AMU Prevention,Prevention,15,Austria,Western Europe,Europe
