coefficient,Estimate,Std.Error,AdjustedSE,zvalue,Pr(>|z|),mod_number,mod_names
(Intercept),0,0,0,NA,NA,2,DPSEA
DPSIRUSE,1.1976209362211743,0.13946134907749527,0.140629196756764,8.516161393516393,0,2,DPSEA
DPSIRRESISTANCE,0.10645169786851613,0.22217928064013445,0.22401686598776502,0.475195014442931,0.634648,2,DPSEA
DPSIRDRI,-0.6127664090819304,0.26049912748564885,0.26269847136222135,2.332584601289965,0.01967,2,DPSEA
General,-0.19345109812520994,0.06397497965455234,0.0645210035201473,2.998265488304177,0.0027152,2,DPSEA
workTotal,0.03287113163162065,0.12818752455618726,0.12903352497238493,0.25474876888510606,0.7989171,2,DPSEA
x0008,0.48421974677462337,0.12333386117778868,0.12437203328646022,3.8933169618554273,9.89e-5,2,DPSEA
DPSIRUSE:workTotal,-0.48997324253934205,0.13635358227473857,0.13751528320666956,3.563045729273371,3.666e-4,2,DPSEA
DPSIRRESISTANCE:workTotal,0.5035451747321378,0.2440701771713966,0.24611125463912523,2.046006288783867,0.0407558,2,DPSEA
DPSIRDRI:workTotal,1.1181744623527454,0.29106897464680703,0.2934982732393997,3.8098161532987165,1.391e-4,2,DPSEA
RESPONSE,-0.20825469586146858,0.07516379001383455,0.07580530992361385,2.747230979878837,0.0060101,2,DPSEA
MonitoringandSurveillance,-0.2503634801015655,0.09876999835664227,0.09961299630050584,2.5133616034024886,0.0119587,2,DPSEA
vacTotal,0.11049053358026967,0.07152495460828899,0.07213541720495732,1.5317099125708875,0.125594,2,DPSEA
AwarenessandEducation,-0.10166378070593955,0.07246584056463606,0.07308433358491286,1.391047516193354,0.164211,2,DPSEA
sanTotal,0.009517671486862517,0.09813357627045567,0.09897114237753671,0.09616612740061416,0.9233886,2,DPSEA
infTotal,-0.017204352432164782,0.07003524580361219,0.07063299379584403,0.24357388109432035,0.8075609,2,DPSEA
(Intercept),0,0,0,NA,NA,3,DPSEA.noDr
DPSIRUSE,0.5650660008584126,0.09121016156549958,0.09155744383918316,6.17171009984647,0,3,DPSEA.noDr
