variable_names,importance score,rank,mod_number,mod_names
DPSIR,1,1,2,DPSEA
workTotal,1,2,2,DPSEA
DPSIR:workTotal,1,3,2,DPSEA
x0008,0.993553284446384,4,2,DPSEA
General,0.331499589670041,5,2,DPSEA
RESPONSE,0.245751414967454,6,2,DPSEA
MonitoringandSurveillance,0.136413248425612,7,2,DPSEA
vacTotal,0.0187444455769829,8,2,DPSEA
AwarenessandEducation,0.0147792125942431,9,2,DPSEA
sanTotal,0.0130178980264304,10,2,DPSEA
infTotal,0.00935261132654987,11,2,DPSEA
DPSIR,1,1,3,DPSEA.noDr
General,0.532794232193997,2,3,DPSEA.noDr
RESPONSE,0.262118628901436,3,3,DPSEA.noDr
MonitoringandSurveillance,0.132660028432122,4,3,DPSEA.noDr
x0008,0.059981478546933,5,3,DPSEA.noDr
AwarenessandEducation,0.0484409851059886,6,3,DPSEA.noDr
DPSIR:MonitoringandSurveillance,0.0123737930537176,7,3,DPSEA.noDr
DPSIR,1,1,4,aP.noDr
General,0.501429963104685,2,4,aP.noDr
RESPONSE,0.28040959523505,3,4,aP.noDr
MonitoringandSurveillance,0.143432700216948,4,4,aP.noDr
x0008,0.0574025049528458,5,4,aP.noDr
AwarenessandEducation,0.0362327739736139,6,4,aP.noDr
DPSIR,1,1,5,aS.noDr
General,0.469788564999902,2,5,aS.noDr
RESPONSE,0.141331450455459,3,5,aS.noDr
MonitoringandSurveillance,0.067355728353719,4,5,aS.noDr
AwarenessandEducation,0.0576597615786721,5,5,aS.noDr
x0008,0.0412520345447574,6,5,aS.noDr
DPSIR,1,1,6,aE.noDr
General,0.263118795214321,2,6,aE.noDr
RESPONSE,0.118832373596253,3,6,aE.noDr
MonitoringandSurveillance,0.0921987173252662,4,6,aE.noDr
AwarenessandEducation,0.0437745891410255,5,6,aE.noDr
x0008,0.0312147133187747,6,6,aE.noDr
DPSIR,1,1,7,aP
General,0.281738430601751,2,7,aP
workTotal,0.241704937564249,3,7,aP
DPSIR:workTotal,0.234932758687046,4,7,aP
RESPONSE,0.147865687741347,5,7,aP
sanTotal,0.0767497163305381,6,7,aP
MonitoringandSurveillance,0.0506641442463974,7,7,aP
x0008,0.041819300763681,8,7,aP
AwarenessandEducation,0.0314425175628977,9,7,aP
DPSIR:sanTotal,0.0293783494840002,10,7,aP
vacTotal,0.0240729893858558,11,7,aP
infTotal,0.0192627211194349,12,7,aP
DPSIR,0.996662436167283,1,8,aS
sanTotal,0.265238311980119,2,8,aS
DPSIR:sanTotal,0.226365479508383,3,8,aS
General,0.208130240493251,4,8,aS
RESPONSE,0.0823338880378033,5,8,aS
workTotal,0.0696252629379221,6,8,aS
DPSIR:workTotal,0.0450222836405348,7,8,aS
x0008,0.0425359291532302,8,8,aS
MonitoringandSurveillance,0.0364769951591577,9,8,aS
AwarenessandEducation,0.0359560138105096,10,8,aS
infTotal,0.0301323505094594,11,8,aS
vacTotal,0.0171679819999832,12,8,aS
DPSIR,0.945858150354192,1,9,aE
workTotal,0.267232447404561,2,9,aE
DPSIR:workTotal,0.243376747043835,3,9,aE
sanTotal,0.11513493097381,4,9,aE
General,0.102464206639007,5,9,aE
DPSIR:sanTotal,0.0704597733801594,6,9,aE
RESPONSE,0.0611842228711394,7,9,aE
MonitoringandSurveillance,0.043395642242537,8,9,aE
infTotal,0.0288485286051823,9,9,aE
x0008,0.0241561103226842,10,9,aE
AwarenessandEducation,0.0222054179080086,11,9,aE
vacTotal,0.0193017620720526,12,9,aE
DPSIR:infTotal,0.00448248593097638,13,9,aE
DPSIR:vacTotal,0.00394027650275642,14,9,aE
income,0.00306345337700733,15,9,aE
GDPcap_mean,0.0029392736871446,16,9,aE
meantmpAreaPop,0.00218791966183717,17,9,aE
gini,0.0020001312807662,18,9,aE
x0008,1,1,10,Dr
RESPONSE,0.0554284631857383,2,10,Dr
General,0.0493289026663473,3,10,Dr
AwarenessandEducation,0.0320097034064938,4,10,Dr
income,0.0290649501179932,5,10,Dr
workTotal,0.328681203417763,1,11,P
MonitoringandSurveillance,0.297710701488423,2,11,P
income,0.214266351466825,3,11,P
RESPONSE,0.179961974513901,4,11,P
General,0.134704581629935,5,11,P
sanTotal,0.121203629994667,6,11,P
AwarenessandEducation,0.061279846172065,7,11,P
infTotal,0.0606514320131673,8,11,P
vacTotal,0.0333142393998694,9,11,P
income:MonitoringandSurveillance,0.0129466161743889,10,11,P
meantmpAreaPop,0.00958018010893882,11,11,P
x0008,0.00916600399181233,12,11,P
income:workTotal,0.00722551493896883,13,11,P
income:sanTotal,0.00334271464478162,14,11,P
income:infTotal,0.00313063449179745,15,11,P
AwarenessandEducation:income,0.00261632055663846,16,11,P
income:RESPONSE,0.00223947178907998,17,11,P
gini,0.00123731947518753,18,11,P
General:income,0.00121864310409139,19,11,P
income:meantmpAreaPop,0.00101083653639138,20,11,P
x0008,0.916916527657428,1,12,S
income,0.332975013569663,2,12,S
infTotal,0.226503573390821,3,12,S
MonitoringandSurveillance,0.225451200760214,4,12,S
meantmpAreaPop,0.219983699632321,5,12,S
sanTotal,0.118240119793967,6,12,S
workTotal,0.0802255936435902,7,12,S
vacTotal,0.0756948077469451,8,12,S
RESPONSE,0.0697170708604781,9,12,S
General,0.065477832039048,10,12,S
AwarenessandEducation,0.0423218001960399,11,12,S
income:x0008,0.0159586504386384,12,12,S
gini,0.0136710400511384,13,12,S
income:sanTotal,0.00805754643518483,14,12,S
income:infTotal,0.00375919348883521,15,12,S
income:workTotal,0.00308844424142088,16,12,S
income:vacTotal,0.00255924237809078,17,12,S
GDPcap_mean,0.00209604381648319,18,12,S
income:MonitoringandSurveillance,0.00170631465601604,19,12,S
income,0.997986871043258,1,13,E
meantmpAreaPop,0.784490577037317,2,13,E
RESPONSE,0.405875692087983,3,13,E
General,0.201739541487544,4,13,E
MonitoringandSurveillance,0.116834996187996,5,13,E
AwarenessandEducation,0.0853995145698189,6,13,E
workTotal,0.0736901905940839,7,13,E
x0008,0.0558880274723236,8,13,E
GDPcap_mean,0.0447504229840773,9,13,E
sanTotal,0.0427311152317844,10,13,E
gini,0.0276607872835749,11,13,E
income:meantmpAreaPop,0.0211372453060974,12,13,E
income:MonitoringandSurveillance,0.0165305359721085,13,13,E
PopDensity,0.00722443814383876,14,13,E
infTotal,0.00705391276652822,15,13,E
vacTotal,0.00637801533625989,16,13,E
prod.per.area,0.00599249267157464,17,13,E
GDPcap_mean:income,0.0050373646896665,18,13,E
General:income,0.00486813760011108,19,13,E
gini:income,0.00430031036059727,20,13,E
income:RESPONSE,0.00398346717989676,21,13,E
income:x0008,0.00301789686938505,22,13,E
income:sanTotal,0.00277863329453612,23,13,E
AwarenessandEducation:income,0.00178035165726562,24,13,E
DPSIR,1,1,14,DPS
General,0.287887675331245,2,14,DPS
x0008,0.183391291891268,3,14,DPS
RESPONSE,0.172047720117278,4,14,DPS
MonitoringandSurveillance,0.140785858648191,5,14,DPS
workTotal,0.0839797333969829,6,14,DPS
DPSIR:workTotal,0.064834950910372,7,14,DPS
vacTotal,0.0461880235797052,8,14,DPS
sanTotal,0.0337836765440057,9,14,DPS
AwarenessandEducation,0.028118032819305,10,14,DPS
infTotal,0.0193153318283557,11,14,DPS
DPSIR:MonitoringandSurveillance,0.0181727241013236,12,14,DPS
DPSIR:RESPONSE,0.00579591718283042,13,14,DPS
MonitoringandSurveillance,0.488469629274572,1,15,PSE
RESPONSE,0.269398895280372,2,15,PSE
income,0.204481624391955,3,15,PSE
General,0.131428367706693,4,15,PSE
x0008,0.12500775342379,5,15,PSE
sanTotal,0.101309531572063,6,15,PSE
workTotal,0.0792395822492468,7,15,PSE
AwarenessandEducation,0.0724563034268555,8,15,PSE
infTotal,0.0593501299105242,9,15,PSE
vacTotal,0.0332810357001095,10,15,PSE
DPSIR,0.0295331114639757,11,15,PSE
meantmpAreaPop,0.0143771969906399,12,15,PSE
income:MonitoringandSurveillance,0.00928648199354938,13,15,PSE
DPSIR:workTotal,0.0024238528532865,14,15,PSE
GDPcap_mean,0.00231314959413683,15,15,PSE
