coefficient,Estimate,Std.Error,AdjustedSE,zvalue,Pr(>|z|),mod_number,mod_names
(Intercept),0,0,0,NA,NA,2,DPSEA
DPSIRUSE,0.715432656414469,0.46227349897157566,0.4634709769540988,1.5436406851541082,0.1226754,2,DPSEA
DPSIRRESISTANCE,0.0262096548767861,0.3573216060199731,0.3594260674256439,0.07292085146887185,0.9418691,2,DPSEA
DPSIRDRI,0.4666084608702713,0.2863337626690303,0.29005171267204916,1.6087078285858922,0.1076802,2,DPSEA
MonitoringandSurveillance,-0.3295103193514644,0.13544716503032753,0.1368281916002741,2.408204884517412,0.0160312,2,DPSEA
General,-0.24612810815832234,0.10519858020899694,0.10650221618070485,2.3110139580636604,0.0208321,2,DPSEA
meantmpAreaPop,0.4381251223010217,0.13053402904813635,0.13180443535303546,3.324054468482131,8.872e-4,2,DPSEA
workTotal,0.35508946119416046,0.17595976597388377,0.17751436739190674,2.0003420929316267,0.0454633,2,DPSEA
DPSIRUSE:workTotal,-0.9678397448327607,0.31953117392049707,0.32419235365305143,2.9853873292413815,0.0028322,2,DPSEA
DPSIRRESISTANCE:workTotal,0.5661653194527013,0.3911240881533622,0.39661688466225775,1.4274866788256477,0.1534397,2,DPSEA
DPSIRDRI:workTotal,-0.1615872586062698,0.47636150333734545,0.483185584885515,0.33442069395459295,0.7380621,2,DPSEA
RESPONSE,-0.22079058639925328,0.12948155884715376,0.1307585396828786,1.6885366488087463,0.0913083,2,DPSEA
infTotal,-0.02928019425843451,0.13067560929656538,0.1321959040845782,0.2214909339377202,0.8247102,2,DPSEA
DPSIRUSE:infTotal,-0.08401547220649036,0.16138009024264893,0.16358397477429104,0.5135923144208517,0.6075371,2,DPSEA
DPSIRRESISTANCE:infTotal,-0.2039366440225139,0.15028366414981387,0.15243334508772513,1.337874228930348,0.1809374,2,DPSEA
DPSIRDRI:infTotal,0.026735149178008774,0.15731488580141129,0.15955229309679664,0.16756355335983286,0.8669266,2,DPSEA
