variable_names,importance score,rank,mod_number,mod_names
DPSIR,0.987489907157438,1,2,DPSEA
workTotal,0.550549522690324,2,2,DPSEA
MonitoringandSurveillance,0.420754970448144,3,2,DPSEA
meantmpAreaPop,0.381112011861257,4,2,DPSEA
DPSIR:workTotal,0.293598495071113,5,2,DPSEA
infTotal,0.233829552495215,6,2,DPSEA
General,0.190897206904259,7,2,DPSEA
RESPONSE,0.173775900277027,8,2,DPSEA
sanTotal,0.0719631731994007,9,2,DPSEA
DPSIR:infTotal,0.0700793504643928,10,2,DPSEA
AwarenessandEducation,0.0450151138788454,11,2,DPSEA
vacTotal,0.0423228566269716,12,2,DPSEA
x0008,0.027871020213112,13,2,DPSEA
gini,0.00715327908797556,14,2,DPSEA
DPSIR:MonitoringandSurveillance,0.00460173385875139,15,2,DPSEA
GDPcap_mean,0.000804659923985447,16,2,DPSEA
DPSIR,1,1,3,DPSEA.noDr
MonitoringandSurveillance,0.667860133416169,2,3,DPSEA.noDr
General,0.167314622980401,3,3,DPSEA.noDr
RESPONSE,0.127781329431054,4,3,DPSEA.noDr
meantmpAreaPop,0.0797761653811286,5,3,DPSEA.noDr
AwarenessandEducation,0.0602327026713383,6,3,DPSEA.noDr
DPSIR:MonitoringandSurveillance,0.0543571008819862,7,3,DPSEA.noDr
x0008,0.0206991508973315,8,3,DPSEA.noDr
DPSIR,1,1,4,aP.noDr
MonitoringandSurveillance,0.641235560013725,2,4,aP.noDr
General,0.165017025478638,3,4,aP.noDr
RESPONSE,0.116489638246961,4,4,aP.noDr
meantmpAreaPop,0.10909912178564,5,4,aP.noDr
AwarenessandEducation,0.0468272476909703,6,4,aP.noDr
DPSIR:MonitoringandSurveillance,0.0409878086169909,7,4,aP.noDr
x0008,0.0209985965271049,8,4,aP.noDr
DPSIR,0.993818145565408,1,5,aS.noDr
General,0.306854329359948,2,5,aS.noDr
MonitoringandSurveillance,0.186115786707903,3,5,aS.noDr
RESPONSE,0.147052306784909,4,5,aS.noDr
x0008,0.0894396243846394,5,5,aS.noDr
AwarenessandEducation,0.0507531563312597,6,5,aS.noDr
GDPcap_mean,0.00715915286248146,7,5,aS.noDr
DPSIR,0.987772873697123,1,6,aE.noDr
General,0.267784560367515,2,6,aE.noDr
MonitoringandSurveillance,0.195569215788387,3,6,aE.noDr
RESPONSE,0.131799345060492,4,6,aE.noDr
