coefficient,Estimate,Std.Error,AdjustedSE,zvalue,Pr(>|z|),mod_number,mod_names
(Intercept),0,0,0,NA,NA,2,DPSEA
DPSIRUSE,0.5414205523152171,0.6635280086785005,0.6699107160930438,0.8081980767120903,0.4189766,2,DPSEA
DPSIRRESISTANCE,1.7183013148715989,3.8755128774618175,3.9007094695187035,0.44050994525455256,0.6595678,2,DPSEA
DPSIRDRI,-0.24389082263139208,0.07746633203650853,0.07922422322207315,3.078488026922556,0.0020805,2,DPSEA
x0008,0.47914882437941686,0.27173862727918235,0.27443270375628875,1.7459610965496561,0.0808177,2,DPSEA
DPSIRUSE:x0008,0.7330194317036212,0.35450326403025134,0.36243451105878094,2.0224879511673692,0.043126,2,DPSEA
DPSIRRESISTANCE:x0008,-0.6371226434920193,0.48691682253595436,0.4986238587156752,1.2777620491989308,0.2013333,2,DPSEA
workTotal,-0.1998478355840308,0.10069549344582146,0.10266467943749706,1.9466075059017691,0.0515818,2,DPSEA
sanTotal,0.005414705428926308,0.13194447191344333,0.13396694728182093,0.04041821911143208,0.9677597,2,DPSEA
DPSIRUSE:sanTotal,1.2742780871822967,0.9316584142445046,0.9497083551476189,1.3417572671393714,0.1796747,2,DPSEA
DPSIRRESISTANCE:sanTotal,-10.723442065352417,6.202993354955053,6.344239749141973,1.690264316824204,0.0909774,2,DPSEA
infTotal,-0.08524075988693862,0.07730934633339415,0.07916055285471793,1.0768085468450377,0.2815658,2,DPSEA
DPSIRUSE:workTotal,0.113418491735577,0.15605046175363926,0.1596333069689528,0.7104939056210609,0.4773979,2,DPSEA
DPSIRRESISTANCE:workTotal,0.5868672086257306,0.2947740124970155,0.30197751471132694,1.9434135988129506,0.0519662,2,DPSEA
vacTotal,0.07946005068882449,0.12307808297015564,0.1248779317400492,0.6363017835227416,0.5245797,2,DPSEA
RESPONSE,-0.08452314755692666,0.09326540515141776,0.09504698977982674,0.8892774800414173,0.373854,2,DPSEA
General,-0.08992499094932466,0.07743318071665373,0.07924676020676324,1.1347465904562,0.2564815,2,DPSEA
MonitoringandSurveillance,-0.0786528913221773,0.10538283610512655,0.10729571249062607,0.733047849689696,0.4635292,2,DPSEA
AwarenessandEducation,0.032589704762185166,0.1106766961888116,0.11231539367270066,0.29016240513882835,0.771692,2,DPSEA
DPSIRUSE:MonitoringandSurveillance,0.24801986342936272,0.19190949623526427,0.1964341702375107,1.2626105892344452,0.2067292,2,DPSEA
DPSIRRESISTANCE:MonitoringandSurveillance,2.160775655070115,1.2657732053502213,1.2958737342722642,1.667427618851741,0.0954294,2,DPSEA
GDPcap_mean,-0.005528504958423745,0.09707885082963623,0.09908219340668031,0.05579715959387514,0.9555034,2,DPSEA
DPSIRUSE:vacTotal,0.7173227701471334,0.6168632009255268,0.6269651918954602,1.1441189709088977,0.2525743,2,DPSEA
DPSIRRESISTANCE:vacTotal,6.492449612571207,3.81588820172981,3.8976142790905657,1.6657496477784088,0.0957633,2,DPSEA
AwarenessandEducation:DPSIRUSE,0.33646816782769673,0.19825838313240152,0.2032082456163215,1.6557800930134692,0.0977664,2,DPSEA
AwarenessandEducation:DPSIRRESISTANCE,1.0664675634724838,0.6714421897668847,0.6872072410031629,1.551886388617921,0.1206894,2,DPSEA
prod.per.area,-0.055186055786857924,0.07935993099727269,0.08122736032475163,0.6794023044232993,0.496883,2,DPSEA
meantmpAreaPop,0.07440283494586171,0.09109938186680462,0.09331981367429985,0.7972887216163843,0.4252834,2,DPSEA
DPSIRUSE:RESPONSE,0.19640591877250435,0.24452775133126187,0.25059054501614897,0.7837722638731132,0.4331738,2,DPSEA
DPSIRRESISTANCE:RESPONSE,-0.5254976554591669,0.389850379983138,0.3995162866499467,1.3153347510951516,0.1883974,2,DPSEA
gini,0.06282509903788074,0.07833337329958413,0.08027556218559426,0.782617988929574,0.4338515,2,DPSEA
(Intercept),0,0,0,NA,NA,3,DPSEA.noDr
DPSIRUSE,0.38409950304849,0.4053761221767114,0.4117677037397793,0.9328062875257102,0.35092,3,DPSEA.noDr
DPSIRRESISTANCE,0.5547984215893578,0.4790942813309895,0.48474276962262675,1.1445212932650228,0.2524075,3,DPSEA.noDr
