coefficient,Estimate,Std.Error,AdjustedSE,zvalue,Pr(>|z|),mod_number,mod_names
(Intercept),-26.104456652631956,9.988584434524295,10.001760336524706,2.6099862198560166,0.0090546,2,DPSEA
DPSIRUSE,40.18525880579261,12.571834897790186,12.586479463573323,3.1927322427286544,0.0014093,2,DPSEA
DPSIRRESISTANCE,29.87046599437982,12.701077860271033,12.709654190582059,2.3502186248713235,0.0187624,2,DPSEA
DPSIRDRI,44.11953248163433,17.933454027410807,17.958750630783776,2.4567150237059012,0.0140214,2,DPSEA
gini,3.6459349912940113,1.6212815116925823,1.6311102008136251,2.2352474955250465,0.0254011,2,DPSEA
meantmpAreaPop,5.892091335122282,5.273994304935937,5.296352386260251,1.1124809879356765,0.2659314,2,DPSEA
DPSIRUSE:gini,-1.5455022271467065,2.920825998472761,2.9437021330227124,0.5250199093886317,0.5995694,2,DPSEA
DPSIRRESISTANCE:gini,-24.908092272177246,2.7402728085893133,2.7428134600508653,9.081219935283286,0,2,DPSEA
DPSIRDRI:gini,-26.181786577866987,2.6525129206051914,2.659977814828791,9.842859001270345,0,2,DPSEA
DPSIRUSE:meantmpAreaPop,-6.752421879941842,7.036425473950555,7.068452410512798,0.9552899967040978,0.3394311,2,DPSEA
DPSIRRESISTANCE:meantmpAreaPop,28.3442562990723,11.313149235022264,11.317110675871625,2.504548829720557,0.0122608,2,DPSEA
DPSIRDRI:meantmpAreaPop,-12.526560143198932,6.7827359958299,6.819954150273355,1.8367513721037034,0.0662466,2,DPSEA
workTotal,3.8881446434388742,5.7795327678609905,5.826795990016414,0.6672869017725677,0.5045889,2,DPSEA
DPSIRUSE:workTotal,-4.040098263855201,1.5901438958030505,1.5970684989688322,2.529696294469362,0.0114161,2,DPSEA
DPSIRRESISTANCE:workTotal,6.750590346284548,2.3736941651937444,2.376661180406102,2.840367151169217,0.0045062,2,DPSEA
DPSIRDRI:workTotal,14.458178629149256,6.979261247018675,6.982024504133401,2.070771682423905,0.0383801,2,DPSEA
General,-2.9869163071599276,2.2092797238118402,2.2232429777071325,1.3434952171716221,0.1791117,2,DPSEA
GDPcap_mean,-1.9479475731708116,3.3092691043418863,3.330791167812359,0.5848302925728635,0.5586618,2,DPSEA
x0008,1.826427747656253,7.840186951996585,7.862439750901857,0.2322978369973205,0.8163067,2,DPSEA
RESPONSE,-2.567627397624818,3.974215186727433,4.005165071863951,0.6410790445722823,0.5214713,2,DPSEA
AwarenessandEducation,-1.8924447751348366,1.7348086314941646,1.747510363851502,1.0829376547809995,0.2788361,2,DPSEA
DPSIRUSE:General,0.37206094907885023,0.45054016495408866,0.45054027355823095,0.8258106342867537,0.4089115,2,DPSEA
DPSIRRESISTANCE:General,-7.057181966125197,0.9101207433620292,0.9101208492656236,7.754115260429025,0,2,DPSEA
DPSIRDRI:General,3.93787453758042,1.0550031662075232,1.0550032190968177,3.7325711109693223,1.895e-4,2,DPSEA
sanTotal,2.2168847552848376,4.2065830349988,4.23879056336051,0.5229993608193968,0.6009747,2,DPSEA
DPSIRUSE:sanTotal,-2.7435830011372846,5.22010029144499,5.259927547319981,0.5216009111257027,0.6019482,2,DPSEA
DPSIRRESISTANCE:sanTotal,2.494449709647476,2.929183339893172,2.9528403890134935,0.8447627981954148,0.3982433,2,DPSEA
DPSIRDRI:sanTotal,28.46765157966285,43.893807658275286,44.26167673637424,0.6431670392700721,0.5201157,2,DPSEA
DPSIRUSE:GDPcap_mean,4.711723974555042,0.0010939598037527623,0.0011033630126414727,4270.329819444539,0,2,DPSEA
