variable_names,importance score,rank,mod_number,mod_names
DPSIR,1,1,2,DPSEA
meantmpAreaPop,0.919554821130684,2,2,DPSEA
DPSIR:meantmpAreaPop,0.904808471629697,3,2,DPSEA
gini,0.676617920764515,4,2,DPSEA
DPSIR:gini,0.653251796039293,5,2,DPSEA
workTotal,0.141376709065301,6,2,DPSEA
sanTotal,0.0790247731969899,7,2,DPSEA
x0008,0.0729649571235721,8,2,DPSEA
General,0.0638101322737295,9,2,DPSEA
DPSIR:sanTotal,0.0634592916940659,10,2,DPSEA
RESPONSE,0.0522758668189429,11,2,DPSEA
DPSIR:workTotal,0.0479644321144657,12,2,DPSEA
GDPcap_mean,0.0421835736828916,13,2,DPSEA
AwarenessandEducation,0.0333182658398365,14,2,DPSEA
prod.per.area,0.0285929132735561,15,2,DPSEA
vacTotal,0.0275974968526636,16,2,DPSEA
MonitoringandSurveillance,0.0244510857541011,17,2,DPSEA
infTotal,0.0203243613281179,18,2,DPSEA
PopDensity,0.0202719279357885,19,2,DPSEA
DPSIR:General,0.00604641659919179,20,2,DPSEA
DPSIR:GDPcap_mean,0.00424877450395976,21,2,DPSEA
DPSIR:x0008,0.00375980050579118,22,2,DPSEA
DPSIR:vacTotal,0.0035621932984273,23,2,DPSEA
DPSIR:RESPONSE,0.00307962451985549,24,2,DPSEA
DPSIR,1,1,3,DPSEA.noDr
meantmpAreaPop,0.970701623572697,2,3,DPSEA.noDr
DPSIR:meantmpAreaPop,0.963759237102163,3,3,DPSEA.noDr
prod.per.area,0.857753777538645,4,3,DPSEA.noDr
RESPONSE,0.614348881740585,5,3,DPSEA.noDr
General,0.360681451654223,6,3,DPSEA.noDr
AwarenessandEducation,0.0525510836373271,7,3,DPSEA.noDr
PopDensity,0.03265915361854,8,3,DPSEA.noDr
x0008,0.02495631930455,9,3,DPSEA.noDr
MonitoringandSurveillance,0.0227574867409525,10,3,DPSEA.noDr
GDPcap_mean,0.0215644954635197,11,3,DPSEA.noDr
gini,0.0139547358351754,12,3,DPSEA.noDr
DPSIR:MonitoringandSurveillance,0.0055162929249541,13,3,DPSEA.noDr
DPSIR:RESPONSE,0.0031445805109769,14,3,DPSEA.noDr
DPSIR:General,0.00286632440977625,15,3,DPSEA.noDr
DPSIR:PopDensity,0.00197497394296508,16,3,DPSEA.noDr
DPSIR:gini,0.00122193103149745,17,3,DPSEA.noDr
DPSIR,1,1,4,aP.noDr
General,0.518163512648401,2,4,aP.noDr
prod.per.area,0.301358203976483,3,4,aP.noDr
meantmpAreaPop,0.258951320452688,4,4,aP.noDr
DPSIR:meantmpAreaPop,0.211261523767853,5,4,aP.noDr
RESPONSE,0.184899086014105,6,4,aP.noDr
MonitoringandSurveillance,0.122898548365896,7,4,aP.noDr
DPSIR:MonitoringandSurveillance,0.0787619642815262,8,4,aP.noDr
AwarenessandEducation,0.0520890888150674,9,4,aP.noDr
GDPcap_mean,0.0499216632267342,10,4,aP.noDr
gini,0.0328338021397827,11,4,aP.noDr
x0008,0.032015416338663,12,4,aP.noDr
PopDensity,0.0316856345395969,13,4,aP.noDr
DPSIR:GDPcap_mean,0.0129211673608586,14,4,aP.noDr
DPSIR:RESPONSE,0.00740978390658639,15,4,aP.noDr
DPSIR:General,0.00691034870531005,16,4,aP.noDr
DPSIR,1,1,5,aS.noDr
prod.per.area,0.697850338156546,2,5,aS.noDr
General,0.640633947228935,3,5,aS.noDr
RESPONSE,0.266665532851305,4,5,aS.noDr
AwarenessandEducation,0.137876124860248,5,5,aS.noDr
GDPcap_mean,0.0375591134690213,6,5,aS.noDr
MonitoringandSurveillance,0.0364316665739444,7,5,aS.noDr
gini,0.0258685398179889,8,5,aS.noDr
meantmpAreaPop,0.0250392936729423,9,5,aS.noDr
PopDensity,0.0198025645294531,10,5,aS.noDr
x0008,0.0190020248769948,11,5,aS.noDr
DPSIR:MonitoringandSurveillance,0.00859059372098389,12,5,aS.noDr
DPSIR,1,1,6,aE.noDr
prod.per.area,0.654785828757397,2,6,aE.noDr
General,0.513036260643681,3,6,aE.noDr
RESPONSE,0.310893537792208,4,6,aE.noDr
AwarenessandEducation,0.208352778294368,5,6,aE.noDr
GDPcap_mean,0.0589306737807504,6,6,aE.noDr
gini,0.032968347627798,7,6,aE.noDr
meantmpAreaPop,0.0325792634263004,8,6,aE.noDr
x0008,0.0311859829511543,9,6,aE.noDr
PopDensity,0.0311592897804823,10,6,aE.noDr
MonitoringandSurveillance,0.025529385618181,11,6,aE.noDr
DPSIR:meantmpAreaPop,0.00740877240103715,12,6,aE.noDr
DPSIR,1,1,7,aP
meantmpAreaPop,1,2,7,aP
DPSIR:meantmpAreaPop,1,3,7,aP
DPSIR,1,1,8,aS
General,0.518396776827378,2,8,aS
workTotal,0.460673357648535,3,8,aS
RESPONSE,0.351749842290682,4,8,aS
prod.per.area,0.192215300819236,5,8,aS
AwarenessandEducation,0.105080658761065,6,8,aS
sanTotal,0.0557739835848606,7,8,aS
meantmpAreaPop,0.0549705009197605,8,8,aS
MonitoringandSurveillance,0.0450565257810885,9,8,aS
vacTotal,0.0342704507315938,10,8,aS
DPSIR:meantmpAreaPop,0.0302550687410081,11,8,aS
GDPcap_mean,0.0236137321529958,12,8,aS
gini,0.0223091117875169,13,8,aS
x0008,0.0182335568643453,14,8,aS
DPSIR:sanTotal,0.0143878208019403,15,8,aS
PopDensity,0.0116876295150709,16,8,aS
infTotal,0.0101428083515756,17,8,aS
DPSIR:RESPONSE,0.00358378288164925,18,8,aS
DPSIR,1,1,9,aE
meantmpAreaPop,1,2,9,aE
DPSIR:meantmpAreaPop,1,3,9,aE
GDPcap_mean,0.873263724505837,1,10,Dr
x0008,0.37552880995503,2,10,Dr
meantmpAreaPop,0.2674906576071,3,10,Dr
income,0.195818035379113,4,10,Dr
prod.per.area,0.156397418002365,5,10,Dr
General,0.154066686779982,6,10,Dr
PopDensity,0.141239616870403,7,10,Dr
gini,0.118987514335376,8,10,Dr
MonitoringandSurveillance,0.114510793196139,9,10,Dr
RESPONSE,0.104275331349432,10,10,Dr
AwarenessandEducation,0.0972607465919825,11,10,Dr
General:income,0.0504880776023009,12,10,Dr
GDPcap_mean:income,0.0071362031244841,13,10,Dr
income:x0008,0.00465639375695473,14,10,Dr
income:meantmpAreaPop,0.00239672139250554,15,10,Dr
income:RESPONSE,0.00237320564650082,16,10,Dr
x0008,0.997405788126101,1,11,P
MonitoringandSurveillance,0.571661563956575,2,11,P
RESPONSE,0.372199137375411,3,11,P
infTotal,0.104562114169561,4,11,P
AwarenessandEducation,0.0860493056692627,5,11,P
General,0.0819955252132034,6,11,P
income,0.0793122716795674,7,11,P
meantmpAreaPop,0.0734471960891189,8,11,P
prod.per.area,0.0723842696804868,9,11,P
